# This file was produced by samtools stats (1.9+htslib-1.9) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats ../results/bam/sample.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	2240618f	83848cbe	89619931
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	48297986
SN	filtered sequences:	0
SN	sequences:	48297986
SN	is sorted:	1
SN	1st fragments:	24148993
SN	last fragments:	24148993
SN	reads mapped:	14113472
SN	reads mapped and paired:	12445906	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	34184514
SN	reads properly paired:	7969986	# proper-pair bit set
SN	reads paired:	48297986	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4858212	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	total length:	4829798600	# ignores clipping
SN	total first fragment length:	2414899300	# ignores clipping
SN	total last fragment length:	2414899300	# ignores clipping
SN	bases mapped:	1411347200	# ignores clipping
SN	bases mapped (cigar):	1030013323	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	56081877	# from NM fields
SN	error rate:	5.444772e-02	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.4
SN	insert size average:	2996.1
SN	insert size standard deviation:	3763.1
SN	inward oriented pairs:	4599440
SN	outward oriented pairs:	718007
SN	pairs with other orientation:	1105475
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	16.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	16	0	0	10414	5	41	132	271	743	801	1646	1685	2983	10766	2694	1387	2445	2418	3810	4312	6216	33021	13032	8750	8831	11991	66407	29972	12033	108793	54844	138551	56401	219240	232486	240137	849922	1365078	2055279	18591456	0
FFQ	17	0	0	10879	11	59	88	190	656	647	1451	1609	2876	13380	2091	1276	2366	2012	3219	4072	5813	37848	12194	8584	8778	10333	73629	28400	12864	115687	52853	148371	59997	225309	250856	262867	854081	1408195	2081289	18444163	0
FFQ	18	0	0	11624	7	42	79	211	549	576	1379	1469	2851	14110	1660	1269	2130	1852	3087	3891	5505	40628	11318	8412	8848	9633	78859	27688	13154	120379	52566	154724	62927	233064	264480	276272	860288	1448220	2107702	18317540	0
FFQ	19	0	0	12909	6	38	73	182	532	572	1310	1530	2865	15283	1509	1368	2207	1781	2989	3676	5475	42752	11352	8104	8758	9172	81269	27418	13164	123122	52485	158720	64140	236841	274531	282557	866868	1481913	2139666	18211856	0
FFQ	20	0	0	15145	5	40	80	214	538	605	1361	1583	3307	16853	1475	1450	2344	1827	3129	3904	5843	46446	11420	8549	9055	9545	86569	27036	13901	128910	53185	167108	66838	244159	291903	288670	868083	1536805	2173590	18057518	0
FFQ	21	0	0	19548	25	61	264	577	1174	1356	2401	2557	4225	13250	3208	1710	3236	3090	4854	4981	8015	38582	13485	9147	9107	12332	78304	27771	12906	119522	54468	157837	55366	228225	280222	220946	801158	1360112	2228714	18366257	0
FFQ	22	0	0	21508	7	67	161	373	1049	1064	2020	2160	3645	15305	2337	1702	2962	2510	4105	4639	7016	43492	12714	8774	9590	10606	84715	27268	13266	125920	52797	165103	59228	236981	296806	240565	809094	1412458	2265690	18201296	0
FFQ	23	0	0	24672	7	60	139	373	933	1021	2119	2165	3768	17108	1890	1758	2921	2446	3822	4402	6854	47381	11889	8618	9249	10016	89318	26819	13749	129559	52131	172878	63206	242599	311881	251127	809934	1467317	2298787	18056077	0
FFQ	24	0	0	29896	12	52	118	343	915	989	1999	2118	3779	17704	1607	1732	2674	2001	3550	4303	6501	48435	11272	8401	9191	9367	90365	26226	13859	132369	51585	175850	64680	246934	319873	256366	822143	1506634	2340822	17934328	0
FFQ	25	0	0	39043	8	49	114	326	846	900	1947	2063	3816	18354	1506	1699	2818	2078	3591	4212	6398	50525	11206	8382	9084	9690	93773	26084	14009	134757	51198	181822	65939	251504	333160	258776	829038	1560707	2372224	17797347	0
